book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,authors,original_publication_year,title,language_code,average_rating,ratings_count,work_ratings_count,image_url,small_image_url
74,99561,99561,919292,187,142402516,John Green,2005.0,Looking for Alaska,eng,4.09,783470,831285,https://images.gr-assets.com/books/1394798630m/99561.jpg,https://images.gr-assets.com/books/1394798630s/99561.jpg
75,227443,227443,3185154,193,014028009X,Helen Fielding,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",eng,3.75,736498,754498,https://images.gr-assets.com/books/1292060045m/227443.jpg,https://images.gr-assets.com/books/1292060045s/227443.jpg
76,14935,14935,2809709,1969,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,eng,4.06,738894,779382,https://images.gr-assets.com/books/1397245675m/14935.jpg,https://images.gr-assets.com/books/1397245675s/14935.jpg
77,38709,38709,1679789,138,439244196,"Louis Sachar, Louis Sachar",1998.0,"Holes (Holes, #1)",eng,3.93,747445,764637,https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893s/38709.jpg
78,5139,5139,38765,129,307275558,Lauren Weisberger,2003.0,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,3.7,665930,679845,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
79,1381,1381,3356006,1703,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,The Odyssey,eng,3.73,670326,710757,https://images.gr-assets.com/books/1390173285m/1381.jpg,https://images.gr-assets.com/books/1390173285s/1381.jpg
80,157993,157993,2180358,1708,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,The Little Prince,eng,4.28,738757,859286,https://images.gr-assets.com/books/1367545443m/157993.jpg,https://images.gr-assets.com/books/1367545443s/157993.jpg
81,7445,7445,2944133,92,074324754X,Jeannette Walls,2005.0,The Glass Castle,eng,4.24,621099,637866,https://images.gr-assets.com/books/1400930557m/7445.jpg,https://images.gr-assets.com/books/1400930557s/7445.jpg
82,1845,1845,3284484,108,385486804,Jon Krakauer,1996.0,Into the Wild,eng,3.94,647684,665377,https://images.gr-assets.com/books/1403173986m/1845.jpg,https://images.gr-assets.com/books/1403173986s/1845.jpg
83,1953,1953,2956372,525,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,eng,3.81,637412,677713,https://images.gr-assets.com/books/1344922523m/1953.jpg,https://images.gr-assets.com/books/1344922523s/1953.jpg
84,7677,6424171,3376836,176,030734813X,Michael Crichton,1990.0,"Jurassic Park (Jurassic Park, #1)",spa,3.96,447833,650483,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
85,370493,370493,30530,81,60256656,Shel Silverstein,1964.0,The Giving Tree,eng,4.38,702332,708287,https://images.gr-assets.com/books/1174210942m/370493.jpg,https://images.gr-assets.com/books/1174210942s/370493.jpg
86,32542,32542,1804929,158,385338600,John Grisham,1989.0,A Time to Kill,eng,4.03,597775,608824,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
87,1617,1617,265616,109,374500010,"Elie Wiesel, Marion Wiesel",1958.0,Night (The Night Trilogy #1),eng,4.3,691231,707879,https://images.gr-assets.com/books/1473495285m/1617.jpg,https://images.gr-assets.com/books/1473495285s/1617.jpg
88,6442769,6442769,3364505,178,014241493X,John Green,2008.0,Paper Towns,en-US,3.88,461311,655271,https://images.gr-assets.com/books/1349013610m/6442769.jpg,https://images.gr-assets.com/books/1349013610s/6442769.jpg
89,21787,21787,992628,129,345418263,William Goldman,1973.0,The Princess Bride ,en-US,4.25,628637,658042,https://images.gr-assets.com/books/1327903636m/21787.jpg,https://images.gr-assets.com/books/1327903636s/21787.jpg
90,231804,231804,1426690,156,014038572X,S.E. Hinton,1967.0,The Outsiders,en-US,4.06,659248,680437,https://images.gr-assets.com/books/1442129426m/231804.jpg,https://images.gr-assets.com/books/1442129426s/231804.jpg
91,6186357,6186357,6366642,147,385737947,James Dashner,2009.0,"The Maze Runner (Maze Runner, #1)",eng,4.02,719925,777956,https://images.gr-assets.com/books/1375596592m/6186357.jpg,https://images.gr-assets.com/books/1375596592s/6186357.jpg
92,1202,1202,5397,124,61234001,"Steven D. Levitt, Stephen J. Dubner",2005.0,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US,3.93,524191,549301,https://images.gr-assets.com/books/1327909092m/1202.jpg,https://images.gr-assets.com/books/1327909092s/1202.jpg
93,2998,2998,3186437,1350,517189607,Frances Hodgson Burnett,1911.0,The Secret Garden,eng,4.12,639357,692249,https://images.gr-assets.com/books/1327873635m/2998.jpg,https://images.gr-assets.com/books/1327873635s/2998.jpg
94,320,320,3295655,555,60531045,"Gabriel García Márquez, Gregory Rabassa",1967.0,One Hundred Years of Solitude,eng,4.04,490565,575667,https://images.gr-assets.com/books/1327881361m/320.jpg,https://images.gr-assets.com/books/1327881361s/320.jpg
95,5297,5297,1858012,2303,375751513,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,eng,4.06,590014,674551,https://images.gr-assets.com/books/1424596966m/5297.jpg,https://images.gr-assets.com/books/1424596966s/5297.jpg
96,13536860,13536860,18034963,133,345803507,E.L. James,2012.0,"Fifty Shades Freed (Fifty Shades, #3)",eng,3.88,387290,610116,https://images.gr-assets.com/books/1336418837m/13536860.jpg,https://images.gr-assets.com/books/1336418837s/13536860.jpg
97,17245,17245,3165724,2207,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,eng,3.98,618973,689739,https://images.gr-assets.com/books/1387151694m/17245.jpg,https://images.gr-assets.com/books/1387151694s/17245.jpg
98,5060378,5060378,6976108,209,307269981,"Stieg Larsson, Reg Keeland",2006.0,"The Girl Who Played with Fire (Millennium, #2)",eng,4.22,563994,649253,https://images.gr-assets.com/books/1351778881m/5060378.jpg,https://images.gr-assets.com/books/1351778881s/5060378.jpg
99,11857408,11857408,16813814,147,1612130585,E.L. James,2011.0,"Fifty Shades Darker (Fifty Shades, #2)",eng,3.87,552059,623340,https://images.gr-assets.com/books/1358266080m/11857408.jpg,https://images.gr-assets.com/books/1358266080s/11857408.jpg
100,7244,7244,810663,39,60786507,Barbara Kingsolver,1998.0,The Poisonwood Bible,eng,4.02,546502,562787,https://images.gr-assets.com/books/1412242487m/7244.jpg,https://images.gr-assets.com/books/1412242487s/7244.jpg
101,4137,4137,1030767,59,349113912,David Sedaris,2000.0,Me Talk Pretty One Day,eng,3.97,495736,514276,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
102,19543,19543,3020535,110,99408392,Maurice Sendak,1963.0,Where the Wild Things Are,eng,4.22,620618,636061,https://images.gr-assets.com/books/1384434560m/19543.jpg,https://images.gr-assets.com/books/1384434560s/19543.jpg
103,7126,7126,391568,1310,140449264,"Alexandre Dumas, Robin Buss",1844.0,The Count of Monte Cristo,eng,4.21,555822,601220,https://images.gr-assets.com/books/1309203605m/7126.jpg,https://images.gr-assets.com/books/1309203605s/7126.jpg
104,6288,6288,3355573,181,307265439,Cormac McCarthy,2006.0,The Road,eng,3.95,504793,555787,https://images.gr-assets.com/books/1439197219m/6288.jpg,https://images.gr-assets.com/books/1439197219s/6288.jpg
105,18710190,18710190,15524549,153,7524277,Veronica Roth,2013.0,"Allegiant (Divergent, #3)",eng,3.63,463257,663226,https://images.gr-assets.com/books/1395582745m/18710190.jpg,https://images.gr-assets.com/books/1395582745s/18710190.jpg
106,9418327,9418327,14302659,48,,Tina Fey,2011.0,Bossypants,eng,3.94,506250,609260,https://images.gr-assets.com/books/1481509554m/9418327.jpg,https://images.gr-assets.com/books/1481509554s/9418327.jpg
107,3473,3473,3143497,131,446693804,Nicholas Sparks,1999.0,A Walk to Remember,en-US,4.15,546948,559581,https://images.gr-assets.com/books/1385738968m/3473.jpg,https://images.gr-assets.com/books/1385738968s/3473.jpg
108,9416,9416,3237433,144,440241413,Sophie Kinsella,2000.0,"Confessions of a Shopaholic (Shopaholic, #1)",eng,3.61,543658,558004,https://images.gr-assets.com/books/1327872404m/9416.jpg,https://images.gr-assets.com/books/1327872404s/9416.jpg
109,24280,24280,3208463,1319,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,eng,4.14,513407,560132,https://images.gr-assets.com/books/1411852091m/24280.jpg,https://images.gr-assets.com/books/1411852091s/24280.jpg
110,10572,10572,3272005,202,553381695,George R.R. Martin,1998.0,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,4.4,523303,606765,https://images.gr-assets.com/books/1358254974m/10572.jpg,https://images.gr-assets.com/books/1358254974s/10572.jpg
111,10441,10441,2868431,98,143037145,Kim Edwards,2005.0,The Memory Keeper's Daughter,eng,3.64,501430,510582,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
112,15507958,15507958,17763198,168,670026603,Jojo Moyes,2012.0,"Me Before You (Me Before You, #1)",eng,4.27,587647,741133,https://images.gr-assets.com/books/1357108762m/15507958.jpg,https://images.gr-assets.com/books/1357108762s/15507958.jpg
113,168668,168668,814330,251,684833395,Joseph Heller,1961.0,Catch-22,en-US,3.98,563265,582515,https://images.gr-assets.com/books/1463157317m/168668.jpg,https://images.gr-assets.com/books/1463157317s/168668.jpg
